Season,Episode,MovieTitle,EpisodeRating,GuyInSpace,MovieRating,Movie Year,Notes
1,1,The Crawling Eye,7.2,Joel,5,1958,
1,2,The Robot vs. the Aztec Mummy,6.7,Joel,2.5,1958,
1,3,The Mad Monster,6.8,Joel,3.3,1942,
1,4,Women of the Prehistoric Planet,7.2,Joel,2.3,1966,
1,5,The Corpse Vanishes,6.7,Joel,4.5,1942,
1,6,The Crawling Hand,7.3,Joel,3,1963,
1,7,Robot Monster,7.3,Joel,3,1953,
1,8,The Slime People,7.2,Joel,2.7,1963,
1,9,Project Moonbase,6.8,Joel,3.1,1953,
1,10,Robot Holocaust,7.4,Joel,2.2,1987,
1,11,Moon Zero Two,7.3,Joel,4.4,1969,
1,12,Untamed Youth,7.3,Joel,3.8,1957,
1,13,The Black Scorpion,7.1,Joel,5.3,1957,
2,1,Rocketship X-M,7.8,Joel,4.9,1950,
2,2,The Sidehackers,7.5,Joel,1.6,1969,
2,3,Jungle Goddess,7.8,Joel,2,1948,
2,4,Catalina Caper,7.8,Joel,2.1,1967,
2,5,Rocket Attack U.S.A.,7.7,Joel,1.6,1961,
2,6,Ring of Terror,7.4,Joel,1.7,1961,
2,7,Wild Rebels,7.3,Joel,2.2,1967,
2,8,Lost Continent,7.7,Joel,3.1,1951,
2,9,The Hellcats,7.2,Joel,1.9,1968,
2,10,King Dinosaur,7.8,Joel,2.1,1955,
2,11,First Spaceship on Venus,7.6,Joel,4.5,1960,
2,12,Godzilla vs. Megalon,8.1,Joel,4.8,1973,
2,13,Godzilla vs. the Sea Monster,8,Joel,5.4,1966,
3,1,Cave Dwellers,8.4,Joel,2.3,1982,
3,2,Gamera,8,Joel,5,1965,
3,3,Pod People,8.5,Joel,2,1983,
3,4,Gamera vs. Barugon,7.7,Joel,4.8,1966,
3,5,Stranded in Space,7.2,Joel,3.3,1973,
3,6,Time of the Apes,8.2,Joel,2.2,1987,
3,7,Daddy-O,8,Joel,2.4,1958,
3,8,Gamera vs. Gaos,7.8,Joel,4.9,1967,
3,9,The Amazing Colossal Man,8.7,Joel,4.5,1957,
3,10,Fugitive Alien,8.3,Joel,2.4,1987,
3,11,It Conquered the World,8.1,Joel,5,1956,
3,12,Gamera vs. Guiron,8.8,Joel,4.1,1969,
3,13,Earth vs. the Spider,8.2,Joel,4.4,1958,
3,14,Mighty Jack,7.5,Joel,1.6,1968,
3,15,Teenage Caveman,7.5,Joel,3.3,1958,
